CVE_ID,Image,Trivy,Grype,Snyk,Clair
CVE-2025-55182,vulhub/nextjs:15.5.6,YES,NO,NO,NO
CVE-2025-3248,vulhub/langflow:1.2.0,YES,YES,NO,NO
CVE-2025-32433,vulhub/erlang:27.3.2-with-ssh,NO,YES,NO,NO
CVE-2025-30208,vulhub/vite:6.2.2,YES,YES,NO,NO
CVE-2025-29927,vulhub/nextjs:15.2.2,YES,YES,NO,NO
CVE-2025-1974,vulhub/ingress-nginx:1.9.5,NO,NO,NO,NO
CVE-2024-4956,vulhub/nexus:3.68.0,NO,NO,NO,NO
CVE-2024-47177,vulhub/cups-browsed:2.0.1,NO,NO,NO,NO
CVE-2024-4367,vulhub/pdfjs:4.1.392,NO,NO,NO,NO
CVE-2024-43441,vulhub/hugegraph:1.3.0,NO,NO,NO,NO
CVE-2024-39907,vulhub/1panel:1.10.10,NO,NO,NO,NO
CVE-2024-36401,vulhub/geoserver:2.23.2,YES,YES,NO,NO
CVE-2024-2961,vulhub/php:8.3.4-apache,YES,YES,YES,NO
CVE-2024-28752,vulhub/apache-cxf:3.2.14,YES,YES,NO,YES
CVE-2024-27348,vulhub/hugegraph:1.2.0,YES,YES,NO,NO
CVE-2024-23897,vulhub/jenkins:2.441,YES,YES,NO,NO
CVE-2024-23334,vulhub/aiohttp:3.9.1,YES,YES,NO,NO
CVE-2024-1561,vulhub/gradio:4.12.0,YES,YES,NO,NO
CVE-2023-51449,vulhub/gradio:4.10.0,YES,YES,NO,NO
CVE-2023-5002,vulhub/pgadmin:7.6,YES,YES,NO,NO
CVE-2023-46604,vulhub/activemq:5.17.3,YES,YES,NO,NO
CVE-2023-38646,vulhub/metabase:0.46.6,NO,NO,NO,NO
CVE-2023-38633,vulhub/librsvg:2.50.7-php,NO,NO,NO,NO
CVE-2023-37941,vulhub/superset:2.0.1,YES,YES,NO,NO
CVE-2023-37582,vulhub/rocketmq:5.1.0,YES,YES,NO,NO
CVE-2023-33246,vulhub/rocketmq:5.1.0,YES,YES,NO,NO
CVE-2023-32315,vulhub/openfire:4.7.4,YES,YES,NO,NO
CVE-2023-28432,vulhub/minio:2023-02-27T18-10-45Z,NO,NO,NO,NO
CVE-2023-27524,vulhub/superset:2.0.1,YES,YES,NO,NO
CVE-2023-25826,vulhub/opentsdb:2.4.1,NO,NO,NO,NO
CVE-2023-25194,vulhub/apache-druid:25.0.0,NO,NO,NO,NO
CVE-2022-44268,vulhub/imagemagick:7.1.0-49-php,NO,NO,NO,NO
CVE-2022-4223,vulhub/pgadmin:6.16,YES,YES,NO,NO
CVE-2022-41678,vulhub/activemq:5.17.3,NO,NO,NO,NO
CVE-2022-24816,vulhub/geoserver:2.17.2,YES,YES,NO,NO
CVE-2022-24706,vulhub/couchdb:3.2.1,NO,NO,NO,NO
CVE-2022-23221,vulhub/spring-with-h2database:2.0.206,YES,YES,NO,NO
CVE-2022-22978,vulhub/spring-security:5.6.3,YES,YES,NO,NO
CVE-2022-22965,vulhub/spring-webmvc:5.3.17,YES,YES,NO,NO
CVE-2022-22963,vulhub/spring-cloud-function:3.2.2,YES,YES,NO,NO
CVE-2022-22947,vulhub/spring-cloud-gateway:3.1.0,NO,NO,NO,NO
CVE-2022-0778,vulhub/openssl:1.1.1m-with-curl,NO,YES,NO,NO
CVE-2022-0543,vulhub/redis:5.0.7,YES,YES,NO,NO
CVE-2021-43798,vulhub/grafana:8.2.6,NO,NO,NO,NO
CVE-2021-43008,vulhub/adminer:4.6.2,NO,NO,NO,NO
CVE-2021-42392,vulhub/spring-with-h2database:2.0.204,YES,YES,NO,NO
CVE-2021-41277,vulhub/metabase:0.40.4,NO,NO,NO,NO
CVE-2021-40822,vulhub/geoserver:2.19.1,YES,YES,NO,NO
CVE-2021-40438,vulhub/tomcat:8.5.19,NO,NO,NO,NO
CVE-2021-4034,vulhub/polkit:0.105,NO,NO,NO,NO
CVE-2021-34429,vulhub/jetty:9.4.40,YES,YES,NO,NO
CVE-2021-32682,vulhub/elfinder:2.1.58,NO,NO,NO,NO
CVE-2021-29505,vulhub/xstream:1.4.16,YES,YES,NO,NO
CVE-2021-29442,vulhub/nacos:1.4.0,YES,YES,NO,NO
CVE-2021-28169,vulhub/jetty:9.4.40,YES,NO,NO,NO
CVE-2021-28164,vulhub/jetty:9.4.37,YES,YES,NO,NO
CVE-2021-25646,vulhub/apache-druid:0.20.0,NO,NO,NO,NO
CVE-2021-21351,vulhub/xstream:1.4.15,YES,YES,NO,NO
CVE-2021-21311,vulhub/adminer:4.7.8,NO,NO,NO,NO
CVE-2020-7247,vulhub/opensmtpd:6.6.1p1,NO,NO,NO,NO
CVE-2020-35476,vulhub/opentsdb:2.4.0,NO,NO,NO,NO
CVE-2020-29599,vulhub/imagemagick:7.0.10-36,NO,NO,NO,NO
CVE-2020-1957,vulhub/shiro:1.5.1,YES,YES,NO,NO
CVE-2020-1938,vulhub/tomcat:9.0.30,NO,NO,NO,NO
CVE-2020-17519,vulhub/flink:1.11.2,YES,YES,NO,NO
CVE-2020-17518,vulhub/flink:1.11.2,NO,NO,NO,NO
CVE-2020-16846,vulhub/saltstack:3002,YES,YES,NO,NO
CVE-2020-11652,vulhub/saltstack:2019.2.3,YES,YES,NO,NO
CVE-2020-11651,vulhub/saltstack:2019.2.3,YES,YES,NO,NO
CVE-2020-10204,vulhub/nexus:3.21.1,YES,YES,NO,NO
CVE-2020-10199,vulhub/nexus:3.21.1,YES,YES,NO,NO

=== DETECTION SUMMARY ===
Scanner,Detected,Percentage
Trivy,41,57.75%
Grype,41,57.75%
Snyk,1,1.41%
Clair,1,1.41%

=== COMBINATION SUMMARY ===
Combination,Count,Percentage
All 4 scanners,0,0.00%
Any 3 scanners,2,2.82%
Any 2 scanners,37,52.11%
Only 1 scanner,4,5.63%
None detected,28,39.44%
